date,sku,orders,produced_qty,oee,materials_consumed
2025-09-06,SKU-C,61,60,0.939,71
2025-09-07,SKU-A,111,158,0.726,184
2025-09-07,SKU-B,99,103,0.678,112
2025-09-07,SKU-C,34,40,0.743,46
2025-09-08,SKU-A,137,126,0.82,136
2025-09-08,SKU-B,84,72,0.908,89
2025-09-08,SKU-C,43,57,0.801,64
2025-09-09,SKU-A,111,117,0.867,132
2025-09-09,SKU-B,90,89,0.798,111
2025-09-09,SKU-C,53,60,0.783,72
2025-09-10,SKU-A,126,91,0.684,107
2025-09-10,SKU-B,89,69,0.869,74
2025-09-10,SKU-C,75,78,0.788,95
2025-09-11,SKU-A,89,157,0.903,192
2025-09-11,SKU-B,101,86,0.884,93
2025-09-11,SKU-C,67,69,0.657,77
2025-09-12,SKU-A,61,117,0.794,141
2025-09-12,SKU-B,85,111,0.683,135
2025-09-12,SKU-C,37,67,0.76,83
2025-09-13,SKU-A,111,82,0.774,96
2025-09-13,SKU-B,94,88,0.703,98
2025-09-13,SKU-C,51,59,0.847,69
2025-09-14,SKU-A,100,111,0.723,118
2025-09-14,SKU-B,86,88,0.708,96
2025-09-14,SKU-C,57,39,0.773,47
2025-09-15,SKU-A,134,107,0.795,131
2025-09-15,SKU-B,95,81,0.728,88
2025-09-15,SKU-C,49,57,0.619,66
2025-09-16,SKU-A,90,80,0.84,98
2025-09-16,SKU-B,112,131,0.858,140
2025-09-16,SKU-C,46,37,0.723,41
2025-09-17,SKU-A,119,108,0.704,115
2025-09-17,SKU-B,97,102,0.854,117
2025-09-17,SKU-C,51,60,0.72,70
2025-09-18,SKU-A,97,148,0.753,166
2025-09-18,SKU-B,85,102,0.914,114
2025-09-18,SKU-C,54,61,0.755,65
2025-09-19,SKU-A,94,108,0.746,117
2025-09-19,SKU-B,97,82,0.605,102
2025-09-19,SKU-C,59,57,0.716,70
2025-09-20,SKU-A,101,124,0.729,146
2025-09-20,SKU-B,102,91,0.833,105
2025-09-20,SKU-C,44,53,0.74,60
2025-09-21,SKU-A,77,90,0.783,96
2025-09-21,SKU-B,90,100,0.7,114
2025-09-21,SKU-C,49,54,0.783,60
2025-09-22,SKU-A,132,133,0.857,155
2025-09-22,SKU-B,88,56,0.724,62
2025-09-22,SKU-C,75,60,0.814,73
2025-09-23,SKU-A,106,126,0.751,137
2025-09-23,SKU-B,104,85,0.818,98
2025-09-23,SKU-C,53,67,0.757,75
2025-09-24,SKU-A,60,143,0.733,158
2025-09-24,SKU-B,81,90,0.897,98
2025-09-24,SKU-C,58,67,0.842,78
2025-09-25,SKU-A,126,93,0.86,100
2025-09-25,SKU-B,86,106,0.848,128
2025-09-25,SKU-C,75,55,0.721,60
2025-09-26,SKU-A,133,127,0.756,154
2025-09-26,SKU-B,77,86,0.711,104
2025-09-26,SKU-C,68,55,0.847,64
2025-09-27,SKU-A,88,127,0.911,139
2025-09-27,SKU-B,100,83,0.792,93
2025-09-27,SKU-C,59,65,0.776,70
2025-09-28,SKU-A,115,167,0.766,204
2025-09-28,SKU-B,89,91,0.831,108
2025-09-28,SKU-C,43,63,0.798,73
2025-09-29,SKU-A,111,148,0.744,183
2025-09-29,SKU-B,94,100,0.95,112
2025-09-29,SKU-C,67,58,0.75,70
2025-09-30,SKU-A,129,78,0.764,87
2025-09-30,SKU-B,65,85,0.897,93
2025-09-30,SKU-C,41,58,0.78,65
